Type,SerialNumber,Tracer,Class,MC,ProductionOrder,SalesOrder,PurchaseOrder,User,LastUpdated,Qty,0,1,2,3,4,5,6,7,8,9,10
ATM,57-60614772,10239605,6688,6688MC2541,118977428,7040962170,2011819949,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614373,10239234,7358,7358MC485,118974868,7040952493,5001509656,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614376,10239188,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614380,10239197,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614394,10239225,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614395,10239227,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614386,10239209,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614392,10239221,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614381,10239199,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614396,10239229,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614398,10239233,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614387,10239211,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614383,10239203,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614385,10239207,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614397,10239231,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614401,10239184,7358,7358MC488,118974871,7040951797,5001509663,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614399,10239235,7358,7358MC485,118974869,7040952494,5001509653,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614402,10239187,7358,7358MC488,118974871,7040951797,5001509663,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,57-60614403,10239190,7358,7358MC488,118974871,7040951797,5001509663,3238473,2023-11-01,1,,,,,,,,,,,
SSCO,KIT00096024,10236333,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,1429509,2023-11-01,1,,,,,,,,,,,
SSCO,KIT00096030,10236357,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,1429509,2023-11-01,1,,,,,,,,,,,
SSCO,KIT00096029,10236353,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,1429509,2023-11-01,1,,,,,,,,,,,
SSCO,KIT00096031,10236361,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,1429509,2023-11-01,1,,,,,,,,,,,
SSCO,KIT00096033,10236369,7358-K708-V001,7358-K708-V001,118906513,7040839376,2011816426,1429509,2023-11-01,1,,,,,,,,,,,
