MetricType,CreationDate,MetricFrom,MetricTo,BaseFile,CompareFile
Weekly,2021_01_25,Wk03,Wk04,../../wsps_final\2021_01_18 Wk03 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_01_25 Wk04 Weekly Supply Plan vFinal_che_cost_corr.csv
Weekly,2021_02_01,Wk04,Wk05,../../wsps_final\2021_01_25 Wk04 Weekly Supply Plan vFinal_che_cost_corr.csv,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv
Weekly,2021_02_08,Wk05,Wk06,../../wsps_final\2021_02_01 Wk05 Weekly Supply Plan vFinal_che_cost_corr.csv,../../wsps_final\2021_02_08 Wk06 Weekly Supply Plan vFinal.csv
Weekly,2021_02_15,Wk06,Wk07,../../wsps_final\2021_02_08 Wk06 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_02_15 Wk07 Weekly Supply Plan v3.csv
Weekly,2021_02_22,Wk07,Wk08,../../wsps_final\2021_02_15 Wk07 Weekly Supply Plan v3.csv,../../wsps_final\2021_02_22 Wk08 Weekly Supply Plan vFinal.csv
Weekly,2021_03_01,Wk08,Wk09,../../wsps_final\2021_02_22 Wk08 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv
Weekly,2021_03_08,Wk09,Wk10,../../wsps_final\2021_03_01 Wk09 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_08 Wk10 Weekly Supply Plan v2.csv
Weekly,2021_03_15,Wk10,Wk11,../../wsps_final\2021_03_08 Wk10 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_15 Wk11 Weekly Supply Plan v2.csv
Weekly,2021_03_22,Wk11,Wk12,../../wsps_final\2021_03_15 Wk11 Weekly Supply Plan v2.csv,../../wsps_final\2021_03_22 Wk12 Weekly Supply Plan vFinal.csv
Weekly,2021_03_29,Wk12,Wk13,../../wsps_final\2021_03_22 Wk12 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_03_29 Wk13 Weekly Supply Plan vFinal.csv
Weekly,2021_04_05,Wk13,Wk14,../../wsps_final\2021_03_29 Wk13 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv
Weekly,2021_04_12,Wk14,Wk15,../../wsps_final\2021_04_05 Wk14 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_12 Wk15 Weekly Supply Plan vFinal.csv
Weekly,2021_04_19,Wk15,Wk16,../../wsps_final\2021_04_12 Wk15 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_19 Wk16 Weekly Supply Plan vFinal.csv
Weekly,2021_04_26,Wk16,Wk17,../../wsps_final\2021_04_19 Wk16 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_04_26 Wk17 Weekly Supply Plan vFinal.csv
Weekly,2021_05_03,Wk17,Wk18,../../wsps_final\2021_04_26 Wk17 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_03 Wk18 Weekly Supply Plan vFinal.csv
Weekly,2021_05_10,Wk18,Wk19,../../wsps_final\2021_05_03 Wk18 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_10 Wk19 Weekly Supply Plan vFinal.csv
Weekly,2021_05_17,Wk19,Wk20,../../wsps_final\2021_05_10 Wk19 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_17 Wk20 Weekly Supply Plan vFinal.csv
Weekly,2021_05_24,Wk20,Wk21,../../wsps_final\2021_05_17 Wk20 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_24 Wk21 Weekly Supply Plan vFinal.csv
Weekly,2020_05_31,Wk21,Wk22,../../wsps_final\2021_05_24 Wk21 Weekly Supply Plan vFinal.csv,../../wsps_final\2021_05_31 Wk22 Weekly Supply Plan v1.csv
